,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1031200,1020000,8876,2578,400,2550,SL_MAX_DAY_OVER,2017-09-29,2757,1540.0000000000002,5.55,SELL,2017-09-13,16,1094100,1076600,9682,1563,700,1538,0.1,2003.0,2.18,6300
1,990000,1095600,8876,2475,400,2739,STOP_LOSS_OVER_RATIO,2018-04-23,1286,1540.0000000000002,4.05,BUY,2018-04-16,7,1153800,1140000,9682,1923,600,1900,-5.47,-122226.0,-2.14,-119400
2,1048800,998000,8876,2622,400,2495,SL_MAX_DAY_OVER,2018-05-10,2595,1540.0000000000002,2.3,BUY,2018-04-24,16,995000,975000,9682,1990,500,1950,1.35,26665.0,-3.07,30800
3,1136400,1005600,8876,2841,400,2514,STOP_PROFIT_OVER_RATIO,2018-05-17,1008,1540.0000000000002,3.32,BUY,2018-05-11,6,1125000,1039000,9682,2250,500,2078,2.07,42252.0,-2.08,44800
4,1156400,1100000,8876,2891,400,2750,STOP_PROFIT_OVER_RATIO,2018-11-12,713,1540.0000000000002,2.95,BUY,2018-11-08,4,1057500,1067500,9682,2115,500,2135,2.96,64147.0,-2.1,66400
5,780600,884100,8876,2602,300,2947,SL_MAX_DAY_OVER,2018-12-28,2405,1540.0000000000002,6.89,SELL,2018-12-12,16,871500,945000,9682,1743,500,1890,1.42,26055.0,2.08,30000
6,915000,958500,8876,3050,300,3195,STOP_PROFIT_OVER_RATIO,2019-04-18,1440,1540.0000000000002,3.03,SELL,2019-04-09,9,991500,987500,9682,1983,500,1975,2.29,44520.0,2.07,47500
7,840600,863100,8876,2802,300,2877,STOP_LOSS_OVER_RATIO,2019-05-24,2023,1540.0000000000002,3.72,BUY,2019-05-10,14,917200,895200,9682,2293,400,2238,-2.73,-48063.0,-2.51,-44500
8,870000,870600,8876,2900,300,2902,SL_MAX_DAY_OVER,2019-11-27,2342,1540.0000000000002,4.53,SELL,2019-11-11,16,908000,910000,9682,2270,400,2275,-0.3,-5282.0,2.09,-1400
9,878700,912000,8876,2929,300,3040,STOP_PROFIT_OVER_RATIO,2020-02-12,1049,1540.0000000000002,0.18,SELL,2020-02-05,7,919200,910400,9682,2298,400,2276,2.17,39511.0,2.11,42100
10,787600,942400,8876,1969,400,2356,STOP_PROFIT_OVER_RATIO,2020-03-18,899,1540.0000000000002,6.62,SELL,2020-03-12,6,850500,880000,9682,1701,500,1760,6.74,122861.0,2.2,125300
11,1307400,1086000,8876,2179,600,1810,STOP_PROFIT_OVER_RATIO,2020-03-25,354,1540.0000000000002,1.93,BUY,2020-03-23,2,1135800,1065000,9682,1893,600,1775,6.91,148706.0,-3.35,150600
12,954400,907600,8876,2386,400,2269,STOP_PROFIT_OVER_RATIO,2020-05-13,292,1540.0000000000002,4.41,BUY,2020-05-11,2,842800,867600,9682,2107,400,2169,3.93,69768.0,-2.26,71600
